resort_name,image_url,image_type,image_credit,image_source_url,source_notes
Takamagahara Mammoth Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Tannenomori Okojo Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Taos Ski Valley,https://tacky-rare-back.media.strapiapp.com/02_13_24_Kachina_Peak_Lift_Opening28_10d5d20f07.jpg,mountain_photo,Official source: Taos Ski Valley,https://www.skitaos.com/,Official Taos Ski Valley homepage references this Kachina Peak lift/mountain image from its site media backend. No image file was downloaded.
Telluride,https://tellurideskiresort.com/wp-content/uploads/TSG.png,logo,Official source: tellurideskiresort.com,https://tellurideskiresort.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Terakoya Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
The Highlands,https://cdn.sanity.io/images/ud45da4u/the-highlands/bc5b8be5c54758ad0de0f16ae266ec9bf9532afd-235x80.svg?w=500&fit=min,logo,Official source: highlandsharborsprings.com,https://www.highlandsharborsprings.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
The Remarkables,https://www.nzski.com/media/4523/remarks-deep-snow-rocks.jpg?quality=90&width=1340&height=876&mode=crop,mountain_photo,Official source: The Remarkables / NZSki,https://www.theremarkables.co.nz/mountain/,Official The Remarkables mountain-page terrain image; replaces a person-focused logo/brand thumbnail with a more descriptive mountain snow scene. No image file was downloaded.
Thredbo,https://cdn.thredbo.com.au/wp-content/uploads/2018/01/24011254/main-logo.png,logo,Official source: thredbo.com.au,https://www.thredbo.com.au/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Thyon,https://verbier4vallees.ch/_dev/styllab-test/logo/verbier-4-vallees.svg,logo,Official source: verbier4vallees.ch,https://verbier4vallees.ch/en,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Tremblant,https://www.tremblant.ca/-/media/tremblant/mountain-and-village/mountain-info/stats/stats-tremblant-aerial-l.jpg?hash=2652F0AECB01BD0D0A0D68D88463C948&rev=77225fd5c0b7421b9fb8fd31541c3831&w=480,mountain_photo,Official source: Tremblant,https://www.tremblant.ca/about-us/media-and-press,Official Tremblant media/press page links to mountain statistics and uses this aerial mountain image for Tremblant. No image file was downloaded.
Tsugaike Mountain Resort,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Vail,https://scene7.vailresorts.com/is/image/vailresorts/20230123_VL_Ritter_004%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/rockies.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Val Gardena/Alpe di Siusi,https://www.dolomitisuperski.com/.resources/dss/webresources/dss/img/dolomiti-superski-logo.svg,logo,Official source: Dolomiti Superski,https://www.dolomitisuperski.com/en/areas/val-gardena-alpe-di-siusi,Official Dolomiti Superski logo from the official Dolomiti Superski site; used for this member-region row because the source site markets the area within the shared Dolomiti Superski destination. No image file was downloaded.
Val Thorens,https://www.les3vallees.com/build/front/img/logo-les-3-vallees-white.svg,logo,Official source: les3vallees.com,https://www.les3vallees.com/fr,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Val di Fassa/Carezza,https://www.dolomitisuperski.com/.resources/dss/webresources/dss/img/dolomiti-superski-logo.svg,logo,Official source: Dolomiti Superski,https://www.dolomitisuperski.com/en/areas/val-di-fassa-carezza,Official Dolomiti Superski logo from the official Dolomiti Superski site; used for this member-region row because the source site markets the area within the shared Dolomiti Superski destination. No image file was downloaded.
Val di Fiemme/Obereggen,https://www.dolomitisuperski.com/.resources/dss/webresources/dss/img/dolomiti-superski-logo.svg,logo,Official source: Dolomiti Superski,https://www.dolomitisuperski.com/en/areas/val-di-fiemme-obereggen,Official Dolomiti Superski logo from the official Dolomiti Superski site; used for this member-region row because the source site markets the area within the shared Dolomiti Superski destination. No image file was downloaded.
Valle Nevado,https://www.vallenevado.com/wp-content/uploads/2024/05/Valle.png,logo,Official source: vallenevado.com,https://www.vallenevado.com/en/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Verbier,https://verbier4vallees.ch/_dev/styllab-test/logo/verbier-4-vallees.svg,logo,Official source: verbier4vallees.ch,https://verbier4vallees.ch/en,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Veysonnaz,https://verbier4vallees.ch/_dev/styllab-test/logo/verbier-4-vallees.svg,logo,Official source: verbier4vallees.ch,https://verbier4vallees.ch/en,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Warth-Schröcken,https://www.skiarlberg.at/static/img/logo-portal.svg,logo,Official source: skiarlberg.at,https://www.skiarlberg.at/en,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Whistler Mountain,https://scene7.vailresorts.com/is/image/vailresorts/20240103_WB_Winton_018%3AEpic-Pass-Home-Page-Hero-Desktop?h=900&resMode=sharp2&w=3840,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/canada.aspx,Official Epic Pass Canada page hero image for Whistler Blackcomb; used for the component mountain row because access and marketing are shared. No image file was downloaded.
White Resort Hakuba Sanosaka,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Whitetail Resort,https://scene7.vailresorts.com/is/image/vailresorts/20190219_WT_Smith_005%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/mid-atlantic.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Wildcat Mountain,https://scene7.vailresorts.com/is/image/vailresorts/20230402_WC_Allen_001-1%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/northeast.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Wilmot Mountain,https://scene7.vailresorts.com/is/image/vailresorts/20190304_WM_BobWeder_025%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/midwest.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Winter Park Resort,https://www.winterparkresort.com/-/media/winter-park/logos/wp-desktop.svg?h=56&iar=0&w=141&rev=c5a7d26709ac4153b5dd2c1f7aaa102e&hash=760259D1FF8AF6C90EC02E7FE92FCB79,logo,Official source: winterparkresort.com,https://www.winterparkresort.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Yakebitaiyama Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Yokoteyama Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Yunding Snow Park,https://www.ecosign.com/images/Projects/china/genting-secret-garden/_projectHeroOptimizer/17791/genting-secret-garden-hero.webp,mountain_photo,Source: Ecosign Genting Secret Garden project page,https://www.ecosign.com/projects/genting-secret-garden,"Verified project-page hero image for Genting Secret Garden/Yunding Snow Park from Ecosign, the resort planning firm; replaces unavailable placeholder after prior Wikimedia image returned 429 to direct requests. No image file was downloaded."
Zao Onsen Ski Resort,https://zao-spa.or.jp/lang/images/header/logo.png,logo,Official source: zao-spa.or.jp,https://zao-spa.or.jp/english/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Zermatt Matterhorn,https://www.matterhornparadise.ch/ZBAG/00-keyvisuals/02_winter/51225/image-thumb__51225__img-teaser-landscape/20250203_blauherd_sonnenaufgang_landschaft_nord-7.jpg,mountain_photo,Official source: Matterhorn Paradise,https://www.matterhornparadise.ch/en,Updated to a verified official winter mountain image after browser testing showed the remote logo SVG could fail in the card. No image file was downloaded.
Zillertal Arena,https://www.zillertal.at/fileadmin/_processed_/0/b/csm_zillertal_logo_8b87d86818.png,logo,Official source: zillertal.at,https://www.zillertal.at/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
